what,kind,bundleId,bundleVersion,description,time
closed,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333557994370
activated,view,org.python.pydev,2.4.0.2012020116,"org.python.pydev.navigator.view",1333557995940
closed,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333557995940
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333557997267
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333558000156
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333558002056
opened,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333558005986
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333558006048
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333558006109
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1333558007014
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1333558008776
activated,view,org.python.pydev,2.4.0.2012020116,"org.python.pydev.navigator.view",1333558009689
closed,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333558009689
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333558011684
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333558031145
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333558034640
opened,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333558039546
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333558039586
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333558039640
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1333558040591
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1333558042897
activated,view,org.python.pydev,2.4.0.2012020116,"org.python.pydev.navigator.view",1333558044022
closed,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333558044022
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333558045392
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333558051820
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333558055889
opened,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333558061897
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333558061956
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333558062038
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1333558062991
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1333558065543
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333558067537
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333558070859
activated,view,org.python.pydev,2.4.0.2012020116,"org.python.pydev.navigator.view",1333558070900
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333558073587
opened,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333558078498
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333558078545
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333558078599
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1333558079542
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1333558082058
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1333558131037
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333558131107
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333558133297
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1333558135807
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333558145553
activated,view,org.python.pydev,2.4.0.2012020116,"org.python.pydev.navigator.view",1333558164609
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333558170273
activated,view,org.python.pydev,2.4.0.2012020116,"org.python.pydev.navigator.view",1333558171006
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333558176060
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333558219447
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333558221613
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333558225212
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333558230437
closed,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333558230437
activated,view,org.python.pydev,2.4.0.2012020116,"org.python.pydev.navigator.view",1333558232624
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333558245160
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333558260226
opened,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333558274062
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333558274113
activated,view,org.python.pydev,2.4.0.2012020116,"org.python.pydev.navigator.view",1333558274872
opened,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333558278651
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333558278700
activated,view,org.python.pydev,2.4.0.2012020116,"org.python.pydev.navigator.view",1333558281174
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333558281213
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333558284192
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333559981093
activated,view,org.python.pydev,2.4.0.2012020116,"org.python.pydev.navigator.view",1333559985320
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333559986851
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1333559988632
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1333559988810
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1333559988955
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1333559989084
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1333559989258
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1333559989442
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333560088409
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333560288983
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333560290786
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333560292640
activated,view,org.python.pydev,2.4.0.2012020116,"org.python.pydev.navigator.view",1333560302912
